route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L6D99,165,55082,"Královo Pole, nádraží",1,,1,0
L6D99,165,55083,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55084,"Vozovna Pisárky",1,,1,0
L6D99,165,55085,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55086,"Královo Pole, nádraží",2,,1,0
L6D99,165,55087,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55088,"Královo Pole, nádraží",2,,1,0
L6D99,165,55089,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55090,"Královo Pole, nádraží",2,,1,0
L6D99,165,55091,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55092,"Královo Pole, nádraží",2,,1,0
L6D99,165,55093,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55094,"Královo Pole, nádraží",2,,1,0
L6D99,165,55095,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55096,"Královo Pole, nádraží",2,,1,0
L6D99,165,55097,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55098,"Královo Pole, nádraží",2,,1,0
L6D99,165,55099,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55100,"Královo Pole, nádraží",2,,1,0
L6D99,165,55101,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55102,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55103,"Královo Pole, nádraží",2,,1,0
L6D99,165,55104,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55105,"Královo Pole, nádraží",2,,1,0
L6D99,165,55106,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55107,"Královo Pole, nádraží",2,,1,0
L6D99,165,55108,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55109,"Královo Pole, nádraží",2,,1,0
L6D99,165,55110,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55111,"Královo Pole, nádraží",2,,1,0
L6D99,165,55112,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55113,"Královo Pole, nádraží",2,,1,0
L6D99,165,55114,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55115,"Královo Pole, nádraží",2,,1,0
L6D99,165,55116,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55117,"Královo Pole, nádraží",2,,1,0
L6D99,165,55118,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55119,"Královo Pole, nádraží",2,,1,0
L6D99,165,55120,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55121,"Vozovna Pisárky",2,,1,0
L6D99,165,55122,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55123,"Královo Pole, nádraží",2,,1,0
L6D99,165,55124,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55125,"Královo Pole, nádraží",2,,1,0
L6D99,165,55126,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55127,"Královo Pole, nádraží",2,,1,0
L6D99,165,55128,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55129,"Královo Pole, nádraží",2,,1,0
L6D99,165,55130,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55131,"Královo Pole, nádraží",2,,1,0
L6D99,165,55132,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55133,"Královo Pole, nádraží",2,,1,0
L6D99,165,55134,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55135,"Královo Pole, nádraží",2,,1,0
L6D99,165,55136,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55137,"Královo Pole, nádraží",2,,1,0
L6D99,165,55138,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55139,"Vozovna Pisárky",2,,1,0
L6D99,165,55140,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55141,"Královo Pole, nádraží",2,,1,0
L6D99,165,55142,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55143,"Královo Pole, nádraží",2,,1,0
L6D99,165,55144,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55145,"Vozovna Pisárky",2,,1,0
L6D99,165,55146,"Královo Pole, nádraží",2,,1,0
L6D99,165,55147,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55148,"Královo Pole, nádraží",2,,1,0
L6D99,165,55149,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55150,"Královo Pole, nádraží",2,,1,0
L6D99,165,55151,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55152,"Královo Pole, nádraží",2,,1,0
L6D99,165,55153,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55154,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55155,"Královo Pole, nádraží",2,,1,0
L6D99,165,55156,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55157,"Královo Pole, nádraží",2,,1,0
L6D99,165,55158,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55159,"Královo Pole, nádraží",2,,1,0
L6D99,165,55160,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55161,"Královo Pole, nádraží",2,,1,0
L6D99,165,55162,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55163,"Královo Pole, nádraží",2,,1,0
L6D99,165,55164,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55165,"Královo Pole, nádraží",2,,1,0
L6D99,165,55166,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55167,"Královo Pole, nádraží",2,,1,0
L6D99,165,55168,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55169,"Královo Pole, nádraží",2,,1,0
L6D99,165,55170,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55171,"Královo Pole, nádraží",2,,1,0
L6D99,165,55172,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55173,"Královo Pole, nádraží",2,,1,0
L6D99,165,55174,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55175,"Královo Pole, nádraží",2,,1,0
L6D99,165,55176,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55177,"Královo Pole, nádraží",2,,1,0
L6D99,165,55178,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55179,"Královo Pole, nádraží",2,,1,0
L6D99,165,55180,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55181,"Královo Pole, nádraží",2,,1,0
L6D99,165,55182,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55183,"Královo Pole, nádraží",2,,1,0
L6D99,165,55184,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55185,"Královo Pole, nádraží",2,,1,0
L6D99,165,55186,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55187,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55188,"Královo Pole, nádraží",2,,1,0
L6D99,165,55189,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55190,"Královo Pole, nádraží",2,,1,0
L6D99,165,55191,"Vozovna Pisárky",2,,0,0
L6D99,165,55192,"Královo Pole, nádraží",2,,1,0
L6D99,165,55193,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55194,"Královo Pole, nádraží",2,,1,0
L6D99,165,55195,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55196,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55197,"Královo Pole, nádraží",1,,1,0
L6D99,165,55198,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55199,"Královo Pole, nádraží",1,,1,0
L6D99,165,55200,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55201,"Královo Pole, nádraží",1,,1,0
L6D99,165,55202,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55203,"Královo Pole, nádraží",1,,1,0
L6D99,165,55204,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55205,"Královo Pole, nádraží",1,,1,0
L6D99,165,55206,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55207,"Královo Pole, nádraží",1,,1,0
L6D99,165,55208,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55209,"Královo Pole, nádraží",1,,1,0
L6D99,165,55210,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55211,"Královo Pole, nádraží",1,,1,0
L6D99,165,55212,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55213,"Královo Pole, nádraží",1,,1,0
L6D99,165,55214,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55215,"Královo Pole, nádraží",1,,1,0
L6D99,165,55216,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55217,"Královo Pole, nádraží",1,,1,0
L6D99,165,55218,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55219,"Královo Pole, nádraží",2,,1,0
L6D99,165,55220,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55221,"Královo Pole, nádraží",2,,1,0
L6D99,165,55222,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55223,"Královo Pole, nádraží",2,,1,0
L6D99,165,55224,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55225,"Královo Pole, nádraží",2,,1,0
L6D99,165,55226,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55227,"Královo Pole, nádraží",2,,1,0
L6D99,165,55228,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55229,"Královo Pole, nádraží",2,,1,0
L6D99,165,55230,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55231,"Královo Pole, nádraží",2,,1,0
L6D99,165,55232,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55233,"Královo Pole, nádraží",2,,1,0
L6D99,165,55234,"Starý Lískovec, smyčka",2,,0,0
L6D99,165,55235,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55236,"Královo Pole, nádraží",1,,1,0
L6D99,165,55237,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55238,"Královo Pole, nádraží",1,,1,0
L6D99,165,55239,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55240,"Královo Pole, nádraží",1,,1,0
L6D99,165,55241,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55242,"Královo Pole, nádraží",1,,1,0
L6D99,165,55243,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55244,"Královo Pole, nádraží",1,,1,0
L6D99,165,55245,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55246,"Královo Pole, nádraží",1,,1,0
L6D99,165,55247,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55248,"Královo Pole, nádraží",1,,1,0
L6D99,165,55249,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55250,"Královo Pole, nádraží",1,,1,0
L6D99,165,55251,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55252,"Královo Pole, nádraží",1,,1,0
L6D99,165,55253,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55254,"Královo Pole, nádraží",1,,1,0
L6D99,165,55255,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55256,"Vozovna Medlánky",1,,1,0
L7D99,165,55257,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55258,"Čertova rokle",1,,1,0
L7D99,165,55259,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55260,"Čertova rokle",1,,1,0
L7D99,165,55261,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55262,"Zemědělská",1,,1,0
L7D99,165,55263,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55264,"Zemědělská",1,,1,0
L7D99,165,55265,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55266,"Zemědělská",1,,1,0
L7D99,165,55267,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55268,"Zemědělská",1,,1,0
L7D99,165,55269,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55270,"Zemědělská",1,,1,0
L7D99,165,55271,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55272,"Zemědělská",1,,1,0
L7D99,165,55273,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55274,"Zemědělská",1,,1,0
L7D99,165,55275,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55276,"Čertova rokle",1,,1,0
L9D99,165,55277,"Juliánov",1,,0,0
L9D99,165,55278,"Čertova rokle",1,,1,0
L9D99,165,55279,"Juliánov",1,,0,0
L9D99,165,55280,"Čertova rokle",1,,1,0
L9D99,165,55281,"Juliánov",1,,0,0
L9D99,165,55282,"Čertova rokle",1,,1,0
L9D99,165,55283,"Vozovna Pisárky",1,,0,0
L7D99,165,55284,"Starý Lískovec, smyčka",1,,0,0
L7D99,165,55285,"Čertova rokle",1,,1,0
L7D99,165,55286,"Starý Lískovec, smyčka",1,,0,0
